row_id,segment_kmeans_8
0,3
1,6
2,7
3,1
4,1
5,0
6,5
7,0
8,0
9,6
10,1
11,3
12,6
13,4
14,0
15,1
16,0
17,3
18,7
19,2
20,7
21,6
22,0
23,4
24,3
25,1
26,7
27,0
28,7
29,4
30,0
31,0
32,6
33,6
34,5
35,6
36,2
37,2
38,7
39,1
40,3
41,1
42,6
43,3
44,3
45,2
46,3
47,7
48,3
49,0
50,3
51,6
52,5
53,6
54,3
55,1
56,2
57,0
58,0
59,6
60,3
61,5
62,4
63,0
64,0
65,7
66,7
67,5
68,4
69,7
70,6
71,3
72,0
73,7
74,0
75,7
76,0
77,2
78,0
79,1
80,0
81,1
82,0
83,0
84,7
85,6
86,6
87,7
88,3
89,6
90,0
91,7
92,3
93,6
94,1
95,1
96,6
97,2
98,7
99,0
100,3
101,6
102,1
103,6
104,5
105,7
106,0
107,7
108,7
109,7
110,7
111,7
112,6
113,3
114,2
115,6
116,6
117,7
118,6
119,4
120,6
121,1
122,0
123,7
124,6
125,1
126,0
127,1
128,0
129,1
130,6
131,1
132,0
133,3
134,3
135,0
136,3
137,2
138,3
139,6
140,0
141,0
142,1
143,6
144,7
145,0
146,6
147,6
148,6
149,2
150,6
151,2
152,0
153,2
154,6
155,6
156,0
157,7
158,3
159,6
160,3
161,0
162,0
163,0
164,6
165,3
166,7
167,7
168,6
169,5
170,3
171,0
172,6
173,7
174,0
175,6
176,6
177,0
178,0
179,2
180,3
181,1
182,3
183,5
184,6
185,6
186,6
187,0
188,7
189,3
190,2
191,0
192,6
193,3
194,0
195,3
196,7
197,6
198,0
199,6
200,6
201,7
202,1
203,1
204,6
205,7
206,7
207,0
208,0
209,1
210,1
211,3
212,2
213,0
214,7
215,7
216,7
217,0
218,7
219,0
220,7
221,0
222,3
223,3
224,3
225,0
226,1
227,7
228,6
229,0
230,6
231,0
232,0
233,2
234,0
235,2
236,6
237,6
238,0
239,2
240,0
241,6
242,1
243,1
244,7
245,0
246,7
247,3
248,7
249,7
250,0
251,1
252,5
253,7
254,6
255,0
256,7
257,6
258,2
259,3
260,0
261,5
262,0
263,0
264,0
265,1
266,6
267,3
268,5
269,0
270,6
271,1
272,0
273,5
274,0
275,6
276,6
277,0
278,6
279,0
280,0
281,2
282,1
283,6
284,3
285,0
286,7
287,3
288,7
289,6
290,3
291,7
292,3
293,2
294,3
295,6
296,0
297,3
298,0
299,3
300,6
301,1
302,1
303,6
304,6
305,7
306,0
307,7
308,7
309,7
310,1
311,7
312,0
313,7
314,7
315,7
316,3
317,0
318,7
319,0
320,5
321,6
322,6
323,3
324,6
325,0
326,5
327,0
328,6
329,7
330,0
331,3
332,6
333,0
334,1
335,6
336,2
337,3
338,6
339,6
340,7
341,1
342,6
343,3
344,7
345,3
346,2
347,3
348,0
349,6
350,1
351,3
352,7
353,7
354,6
355,6
356,0
357,1
358,3
359,7
360,0
361,3
362,0
363,6
364,7
365,6
366,3
367,6
368,2
369,2
370,2
371,2
372,7
373,7
374,0
375,3
376,6
377,6
378,7
379,0
380,3
381,1
382,7
383,7
384,6
385,3
386,1
387,4
388,6
389,0
390,1
391,0
392,6
393,0
394,7
395,0
396,6
397,6
398,2
399,1
400,2
401,6
402,0
403,7
404,1
405,1
406,2
407,6
408,6
409,2
410,2
411,3
412,7
413,7
414,6
415,1
416,3
417,3
418,2
419,3
420,0
421,6
422,7
423,0
424,0
425,6
426,2
427,7
428,0
429,4
430,7
431,7
432,0
433,3
434,2
435,6
436,6
437,6
438,1
439,0
440,5
441,0
442,2
443,6
444,0
445,7
446,0
447,3
448,3
449,0
450,1
451,1
452,2
453,6
454,0
455,0
456,2
457,6
458,0
459,2
460,0
461,0
462,0
463,0
464,2
465,7
466,3
467,0
468,0
469,0
470,0
471,0
472,7
473,7
474,7
475,7
476,0
477,6
478,7
479,1
480,6
481,3
482,7
483,3
484,3
485,6
486,3
487,2
488,7
489,0
490,0
491,6
492,0
493,7
494,0
495,7
496,6
497,3
498,5
499,4
500,5
501,3
502,3
503,6
504,6
505,7
506,6
507,0
508,1
509,2
510,3
511,1
512,7
513,1
514,0
515,0
516,7
517,3
518,7
519,7
520,7
521,7
522,3
523,0
524,3
525,2
526,7
527,1
528,1
529,0
530,0
531,0
532,0
533,1
534,2
535,1
536,0
537,0
538,3
539,6
540,5
541,0
542,1
543,7
544,2
545,5
546,7
547,6
548,5
549,6
550,7
551,2
552,0
553,6
554,5
555,1
556,5
557,1
558,3
559,3
560,0
561,1
562,2
563,3
564,7
565,0
566,0
567,7
568,6
569,6
570,2
571,0
572,7
573,0
574,0
575,7
576,7
577,1
578,6
579,0
580,3
581,6
582,7
583,7
584,6
585,0
586,7
587,4
588,0
589,5
590,2
591,0
592,3
593,7
594,0
595,1
596,0
597,6
598,3
599,7
600,3
601,6
602,5
603,0
604,7
605,0
606,3
607,6
608,7
609,3
610,3
611,1
612,6
613,0
614,7
615,6
616,6
617,2
618,3
619,7
620,3
621,0
622,2
623,2
624,1
625,0
626,0
627,7
628,0
629,2
630,7
631,0
632,3
633,0
634,6
635,7
636,6
637,5
638,0
639,7
640,3
641,7
642,0
643,0
644,2
645,0
646,0
647,2
648,1
649,7
650,6
651,1
652,7
653,2
654,1
655,6
656,3
657,3
658,7
659,3
660,5
661,7
662,6
663,1
664,7
665,3
666,3
667,5
668,0
669,3
670,7
671,1
672,0
673,6
674,0
675,3
676,2
677,7
678,6
679,7
680,7
681,6
682,4
683,4
684,3
685,7
686,2
687,1
688,0
689,3
690,0
691,1
692,0
693,3
694,6
695,7
696,3
697,6
698,3
699,0
700,2
701,0
702,7
703,0
704,0
705,6
706,3
707,6
708,7
709,6
710,1
711,3
712,3
713,5
714,6
715,6
716,6
717,1
718,3
719,3
720,3
721,6
722,0
723,6
724,1
725,6
726,2
727,0
728,0
729,0
730,2
731,1
732,3
733,0
734,0
735,2
736,1
737,1
738,7
739,5
740,3
741,1
742,3
743,3
744,6
745,6
746,1
747,0
748,0
749,6
750,6
751,0
752,2
753,7
754,3
755,6
756,7
757,6
758,3
759,6
760,6
761,6
762,6
763,0
764,6
765,0
766,0
767,6
768,3
769,1
770,6
771,7
772,0
773,6
774,7
775,4
776,2
777,6
778,7
779,6
780,5
781,6
782,7
783,7
784,6
785,0
786,7
787,2
788,0
789,3
790,6
791,0
792,0
793,1
794,6
795,7
796,6
797,7
798,0
799,6
800,2
801,3
802,5
803,6
804,6
805,2
806,1
807,3
808,7
809,6
810,3
811,5
812,2
813,5
814,3
815,3
816,6
817,2
818,6
819,3
820,1
821,6
822,0
823,0
824,3
825,0
826,7
827,7
828,6
829,0
830,6
831,6
832,7
833,5
834,7
835,2
836,0
837,7
838,2
839,0
840,3
841,6
842,1
843,7
844,0
845,6
846,6
847,3
848,3
849,1
850,0
851,6
852,6
853,0
854,6
855,2
856,6
857,2
858,0
859,7
860,0
861,7
862,7
863,0
864,0
865,0
866,1
867,5
868,6
869,7
870,6
871,1
872,3
873,7
874,6
875,6
876,2
877,7
878,5
879,1
880,0
881,6
882,6
883,0
884,1
885,0
886,1
887,0
888,1
889,6
890,2
891,1
892,3
893,0
894,6
895,6
896,7
897,1
898,0
899,7
900,6
901,6
902,0
903,0
904,3
905,2
906,1
907,1
908,0
909,3
910,0
911,2
912,3
913,6
914,6
915,3
916,0
917,7
918,3
919,0
920,3
921,0
922,7
923,1
924,3
925,0
926,6
927,3
928,2
929,0
930,6
931,7
932,0
933,1
934,2
935,7
936,2
937,7
938,7
939,0
940,7
941,7
942,0
943,0
944,3
945,0
946,6
947,6
948,1
949,6
950,0
951,7
952,0
953,7
954,1
955,3
956,6
957,0
958,6
959,1
960,6
961,5
962,3
963,7
964,1
965,4
966,6
967,0
968,1
969,6
970,0
971,3
972,7
973,6
974,2
975,0
976,6
977,1
978,1
979,0
980,2
981,3
982,3
983,0
984,7
985,4
986,7
987,6
988,6
989,1
990,3
991,2
992,6
993,6
994,2
995,3
996,3
997,6
998,0
999,3
1000,3
1001,3
1002,0
1003,6
1004,7
1005,6
1006,0
1007,6
1008,6
1009,0
1010,6
1011,6
1012,3
1013,3
1014,0
1015,7
1016,3
1017,0
1018,2
1019,0
1020,7
1021,3
1022,0
1023,0
1024,7
1025,0
1026,6
1027,3
1028,6
1029,1
1030,3
1031,1
1032,0
1033,6
1034,1
1035,6
1036,6
1037,7
1038,0
1039,7
1040,6
1041,2
1042,3
1043,5
1044,7
1045,3
1046,2
1047,0
1048,0
1049,7
1050,6
1051,0
1052,3
1053,2
1054,0
1055,6
1056,1
1057,6
1058,6
1059,5
1060,6
1061,1
1062,5
1063,2
1064,3
1065,7
1066,0
1067,6
1068,6
1069,2
1070,1
1071,0
1072,1
1073,7
1074,7
1075,6
1076,0
1077,6
1078,3
1079,1
1080,1
1081,7
1082,7
1083,3
1084,6
1085,2
1086,2
1087,3
1088,3
1089,6
1090,7
1091,3
1092,6
1093,0
1094,6
1095,7
1096,3
1097,2
1098,0
1099,7
1100,1
1101,1
1102,0
1103,1
1104,6
1105,0
1106,2
1107,0
1108,0
1109,4
1110,0
1111,6
1112,0
1113,3
1114,3
1115,7
1116,6
1117,2
1118,3
1119,6
1120,6
1121,0
1122,2
1123,3
1124,6
1125,7
1126,3
1127,1
1128,6
1129,2
1130,1
1131,1
1132,2
1133,1
1134,1
1135,6
1136,0
1137,1
1138,6
1139,3
1140,3
